Province,Commodity,Forecast_Date,Forecasted_Price
Aurora,Alumahan,2026-01-01,259.66
Aurora,Alumahan,2026-02-01,214.4
Aurora,Alumahan,2026-03-01,214.85
Aurora,Alumahan,2026-04-01,224.35
Aurora,Alumahan,2026-05-01,224.49
Aurora,Alumahan,2026-06-01,224.57
Aurora,Alumahan,2026-07-01,237.9
Aurora,Alumahan,2026-08-01,226.89
Aurora,Alumahan,2026-09-01,265.12
Aurora,Alumahan,2026-10-01,246.16
Aurora,Alumahan,2026-11-01,253.08
Aurora,Alumahan,2026-12-01,245.36
Aurora,Bangus,2026-01-01,250.27
Aurora,Bangus,2026-02-01,250.44
Aurora,Bangus,2026-03-01,250.4
Aurora,Bangus,2026-04-01,250.41
Aurora,Bangus,2026-05-01,250.4
Aurora,Bangus,2026-06-01,250.41
Aurora,Bangus,2026-07-01,250.41
Aurora,Bangus,2026-08-01,250.41
Aurora,Bangus,2026-09-01,248.83
Aurora,Bangus,2026-10-01,261.46
Aurora,Bangus,2026-11-01,257.78
Aurora,Bangus,2026-12-01,261.46
Aurora,Galunggong (Imported),2026-01-01,202.61
Aurora,Galunggong (Imported),2026-02-01,207.13
Aurora,Galunggong (Imported),2026-03-01,201.15
Aurora,Galunggong (Imported),2026-04-01,180.72
Aurora,Galunggong (Imported),2026-05-01,193.36
Aurora,Galunggong (Imported),2026-06-01,194.96
Aurora,Galunggong (Imported),2026-07-01,198.87
Aurora,Galunggong (Imported),2026-08-01,195.1
Aurora,Galunggong (Imported),2026-09-01,231.34
Aurora,Galunggong (Imported),2026-10-01,212.74
Aurora,Galunggong (Imported),2026-11-01,196.46
Aurora,Galunggong (Imported),2026-12-01,188.05
Aurora,Galunggong (Local),2026-01-01,273.33
Aurora,Galunggong (Local),2026-02-01,251.51
Aurora,Galunggong (Local),2026-03-01,260.17
Aurora,Galunggong (Local),2026-04-01,255.8
Aurora,Galunggong (Local),2026-05-01,258.01
Aurora,Galunggong (Local),2026-06-01,236.89
Aurora,Galunggong (Local),2026-07-01,258.84
Aurora,Galunggong (Local),2026-08-01,258.56
Aurora,Galunggong (Local),2026-09-01,258.7
Aurora,Galunggong (Local),2026-10-01,267.94
Aurora,Galunggong (Local),2026-11-01,245.39
Aurora,Galunggong (Local),2026-12-01,291.92
Aurora,Tilapia,2026-01-01,156.69
Aurora,Tilapia,2026-02-01,154.28
Aurora,Tilapia,2026-03-01,155.64
Aurora,Tilapia,2026-04-01,154.88
Aurora,Tilapia,2026-05-01,155.31
Aurora,Tilapia,2026-06-01,155.06
Aurora,Tilapia,2026-07-01,155.2
Aurora,Tilapia,2026-08-01,155.12
Aurora,Tilapia,2026-09-01,155.17
Aurora,Tilapia,2026-10-01,152.72
Aurora,Tilapia,2026-11-01,155.16
Aurora,Tilapia,2026-12-01,155.15
Bataan,Alumahan,2026-01-01,365.19
Bataan,Alumahan,2026-02-01,344.08
Bataan,Alumahan,2026-03-01,360.01
Bataan,Alumahan,2026-04-01,322.39
