Province,Commodity,Train_Start,Train_End,Test_Start,Test_End,RMSE,MAE,MAPE (%)
Aurora,Alumahan,2021-01,2024-12,2025-01,2025-12,43.93,40.38,15.14
Aurora,Bangus,2021-01,2024-12,2025-01,2025-12,41.8,39.24,16.87
Aurora,Galunggong (Imported),2021-01,2024-12,2025-01,2025-12,60.46,51.59,21.8
Aurora,Galunggong (Local),2021-01,2024-12,2025-01,2025-12,46.04,38.55,16.36
Aurora,Tilapia,2021-01,2024-12,2025-01,2025-12,4.1,1.89,1.26
Bataan,Alumahan,2021-01,2024-12,2025-01,2025-12,46.66,36.94,10.8
Bataan,Bangus,2021-01,2024-12,2025-01,2025-12,31.75,26.43,11.81
Bataan,Galunggong (Imported),2021-01,2024-12,2025-01,2025-12,66.01,61.27,22.68
Bataan,Galunggong (Local),2021-01,2024-12,2025-01,2025-12,56.66,45.57,15.26
Bataan,Tilapia,2021-01,2024-12,2025-01,2025-12,17.33,15.95,11.94
Bulacan,Alumahan,2021-01,2024-12,2025-01,2025-12,63.2,59.67,18.03
Bulacan,Bangus,2021-01,2024-12,2025-01,2025-12,37.15,31.0,13.58
Bulacan,Galunggong (Imported),2021-01,2024-12,2025-01,2025-12,77.58,68.79,25.09
Bulacan,Galunggong (Local),2021-01,2024-12,2025-01,2025-12,65.26,56.81,19.46
Bulacan,Tilapia,2021-01,2024-12,2025-01,2025-12,11.85,10.39,7.46
Nueva Ecija,Alumahan,2021-01,2024-12,2025-01,2025-12,55.44,43.42,13.62
Nueva Ecija,Bangus,2021-01,2024-12,2025-01,2025-12,40.26,31.26,12.11
Nueva Ecija,Galunggong (Imported),2021-01,2024-12,2025-01,2025-12,67.91,50.13,18.24
Nueva Ecija,Galunggong (Local),2021-01,2024-12,2025-01,2025-12,60.12,52.39,18.28
Nueva Ecija,Tilapia,2021-01,2024-12,2025-01,2025-12,8.41,7.57,5.05
Pampanga,Alumahan,2021-01,2024-12,2025-01,2025-12,66.05,50.14,18.24
Pampanga,Bangus,2021-01,2024-12,2025-01,2025-12,24.41,19.63,8.93
Pampanga,Galunggong (Imported),2021-01,2024-12,2025-01,2025-12,59.35,55.46,21.95
Pampanga,Galunggong (Local),2021-01,2024-12,2025-01,2025-12,86.13,77.99,28.15
Pampanga,Tilapia,2021-01,2024-12,2025-01,2025-12,8.67,7.64,5.46
Regional,Alumahan,2021-01,2024-12,2025-01,2025-12,52.28,45.73,14.27
Regional,Bangus,2021-01,2024-12,2025-01,2025-12,30.31,26.69,11.65
Regional,Galunggong (Imported),2021-01,2024-12,2025-01,2025-12,61.99,54.49,20.34
Regional,Galunggong (Local),2021-01,2024-12,2025-01,2025-12,37.51,30.68,10.87
Regional,Tilapia,2021-01,2024-12,2025-01,2025-12,5.93,5.37,3.71
Tarlac,Alumahan,2021-01,2024-12,2025-01,2025-12,39.24,32.05,10.81
Tarlac,Bangus,2021-01,2024-12,2025-01,2025-12,31.92,27.36,13.52
Tarlac,Galunggong (Imported),2021-01,2024-12,2025-01,2025-12,43.54,38.32,14.83
Tarlac,Galunggong (Local),2021-01,2024-12,2025-01,2025-12,82.74,77.48,29.02
Tarlac,Tilapia,2021-01,2024-12,2025-01,2025-12,10.84,8.86,6.07
Zambales,Alumahan,2021-01,2024-12,2025-01,2025-12,87.48,65.68,18.24
Zambales,Bangus,2021-01,2024-12,2025-01,2025-12,63.69,58.2,23.81
Zambales,Galunggong (Imported),2021-01,2024-12,2025-01,2025-12,90.63,71.07,22.84
Zambales,Galunggong (Local),2021-01,2024-12,2025-01,2025-12,66.26,62.12,23.74
Zambales,Tilapia,2021-01,2024-12,2025-01,2025-12,7.47,6.03,4.02
